modalität,,Text-only,Text-only,Text-only,Text-only,Visuell,Visuell,Visuell,Visuell
difficulty,,A,B,C,ALL,A,B,C,ALL
model,math_category,,,,,,,,
Gemma-3-12B-vLLM_CoT-Voting_n5,Algebra,65.8,69.6,51.8,60.7,35.3,36.4,14.0,26.9
Gemma-3-12B-vLLM_CoT-Voting_n5,Arithmetik,72.7,65.1,55.6,66.7,43.5,32.1,22.4,32.9
Gemma-3-12B-vLLM_CoT-Voting_n5,Geometrie,73.1,65.3,39.6,57.8,32.7,25.4,26.8,28.4
Gemma-3-12B-vLLM_CoT-Voting_n5,Stochastik,66.2,54.8,38.6,49.3,29.6,26.1,25.5,27.2
Gemma-3-12B-vLLM_CoT-Voting_n5,unknown,41.7,43.8,25.0,35.4,14.8,45.5,40.0,25.6
Gemma-3-27B-vLLM_CoT-Voting_n5,Algebra,71.2,72.8,63.2,68.1,23.5,38.6,20.9,28.8
Gemma-3-27B-vLLM_CoT-Voting_n5,Arithmetik,83.8,75.2,61.7,76.4,48.4,35.8,31.0,38.7
Gemma-3-27B-vLLM_CoT-Voting_n5,Geometrie,88.1,72.6,45.8,66.7,36.9,32.4,30.1,33.2
Gemma-3-27B-vLLM_CoT-Voting_n5,Stochastik,73.8,63.2,50.2,59.0,33.3,19.6,23.5,25.8
Gemma-3-27B-vLLM_CoT-Voting_n5,unknown,50.0,75.0,40.0,54.2,14.8,27.3,20.0,18.6
Gemma-3-4B-vLLM_CoT-Voting_n5,Algebra,45.9,32.9,21.8,30.9,23.5,9.1,20.9,16.3
Gemma-3-4B-vLLM_CoT-Voting_n5,Arithmetik,46.4,29.0,23.0,35.8,24.2,22.6,29.3,25.4
Gemma-3-4B-vLLM_CoT-Voting_n5,Geometrie,44.8,26.3,21.9,29.5,18.4,19.4,22.5,20.1
Gemma-3-4B-vLLM_CoT-Voting_n5,Stochastik,37.5,23.9,21.7,25.3,20.4,21.7,13.7,18.5
Gemma-3-4B-vLLM_CoT-Voting_n5,unknown,41.7,18.8,35.0,31.2,11.1,18.2,40.0,16.3
Idefics3-8B-CoT-Voting_n5,Algebra,16.2,24.7,17.3,19.4,5.9,15.9,14.0,13.5
Idefics3-8B-CoT-Voting_n5,Arithmetik,20.8,21.2,24.0,21.6,16.1,20.8,19.0,18.5
Idefics3-8B-CoT-Voting_n5,Geometrie,22.4,14.7,17.7,17.8,23.0,19.7,21.9,21.5
Idefics3-8B-CoT-Voting_n5,Stochastik,23.8,16.1,16.9,17.9,14.8,8.7,11.8,11.9
Idefics3-8B-CoT-Voting_n5,unknown,8.3,0.0,20.0,10.4,37.0,0.0,0.0,23.3
InternVL3-14B-CoT-Voting_n5,Algebra,82.9,74.1,56.4,68.1,23.5,34.1,27.9,29.8
InternVL3-14B-CoT-Voting_n5,Arithmetik,79.4,67.4,53.6,70.1,45.2,50.9,31.0,42.2
InternVL3-14B-CoT-Voting_n5,Geometrie,85.1,55.8,44.8,59.3,34.6,32.1,26.5,31.1
InternVL3-14B-CoT-Voting_n5,Stochastik,66.2,51.0,44.4,50.7,44.4,32.6,19.6,32.5
InternVL3-14B-CoT-Voting_n5,unknown,41.7,50.0,30.0,39.6,7.4,36.4,20.0,16.3
