,Gesamt,Modalität,Modalität,Schwierigkeit,Schwierigkeit,Schwierigkeit,Kategorie,Kategorie,Kategorie,Kategorie,Kategorie
,Acc,Visuell,Text-only,Level A,Level B,Level C,Algebra,Arithmetik,Geometrie,Stochastik,unknown
model,,,,,,,,,,,
mistral-large-2512,0.6247288503253796,0.36257710760795064,0.7963212202781517,0.6685855263157895,0.636215334420881,0.5706260032102729,0.7573770491803279,0.7722513089005235,0.4363188167625308,0.6223662884927067,0.4421052631578947
mistral-small-2506,0.4900662251655629,0.3024,0.6032818532818532,0.5882882882882883,0.5044964028776978,0.37636363636363634,0.5500910746812386,0.6590038314176245,0.3483455882352941,0.41304347826086957,0.3488372093023256
mistral-medium-2508,0.4750542299349241,0.3045267489711934,0.5865470852017938,0.5571076417419885,0.49755301794453505,0.37269076305220883,0.5557377049180328,0.5972101133391456,0.35444078947368424,0.42949756888168555,0.3263157894736842
Ovis2.5-9B_TempSweep_0-1_Voting-n5,0.4727272727272727,0.3871794871794872,0.5962962962962963,0.5822222222222222,0.46190476190476193,0.37333333333333335,0.6,0.5947368421052631,0.3469387755102041,0.48333333333333334,0.25
Qwen2.5-VL-72B-AWQ-vLLM,0.4095960965031174,0.3255654557916381,0.46457399103139013,0.4790468364831553,0.38825448613376834,0.36276083467094705,0.4360655737704918,0.44986922406277247,0.35004108463434674,0.4376012965964344,0.3368421052631579
gpt-5.4,0.40340469435130255,0.21519838601210492,0.5205020920502093,0.43498817966903075,0.4238461538461539,0.35244648318042815,0.48382126348228044,0.5159443990188062,0.26904761904761904,0.3875,0.3047619047619048
Qwen2.5-VL-32B-vLLM,0.3770669558145839,0.32282385195339275,0.4125560538116592,0.44042728019720623,0.3466557911908646,0.3451043338683788,0.4,0.3949433304272014,0.3401807723911257,0.3905996758508914,0.4105263157894737
InternVL3-38B-vLLM,0.3106532935754947,0.2748457847840987,0.33408071748878926,0.33032046014790467,0.3107667210440457,0.2913322632423756,0.319672131147541,0.3051438535309503,0.2900575184880855,0.35170178282009723,0.3263157894736842
Ovis2.5-9B-vLLM,0.31038221740309024,0.29403701165181634,0.32107623318385653,0.3401807723911257,0.29853181076672103,0.2929373996789727,0.3344262295081967,0.3077593722755013,0.2941659819227609,0.31766612641815234,0.35789473684210527
Qwen3-VL-30B-Instruct,0.30116562754133913,0.27758738862234406,0.3165919282511211,0.32210353327855384,0.2903752039151713,0.2913322632423756,0.3,0.3042720139494333,0.30073952341824156,0.2917341977309562,0.3473684210526316
Qwen2.5-VL-7B-vLLM,0.2862564380590946,0.25976696367374913,0.30358744394618836,0.3056696795398521,0.2838499184339315,0.2696629213483146,0.2901639344262295,0.2850915431560593,0.2736236647493837,0.31442463533225284,0.25263157894736843
Qwen3-VL-8B-Instruct,0.2783952290593657,0.25359835503769707,0.2946188340807175,0.3105998356614626,0.26508972267536707,0.26003210272873195,0.30983606557377047,0.26765475152571927,0.27280197206244866,0.2884927066450567,0.22105263157894736
InternVL3-14B-vLLM,0.27405801030089455,0.25496915695681976,0.2865470852017937,0.2810188989317995,0.27732463295269166,0.2640449438202247,0.26885245901639343,0.2816041848299913,0.2629416598192276,0.2771474878444084,0.3473684210526316
Qwen3-VL-4B-Instruct,0.2667389536459745,0.2542837559972584,0.2748878923766816,0.3105998356614626,0.24388254486133767,0.2463884430176565,0.32295081967213113,0.25457715780296425,0.2530813475760066,0.27228525121555913,0.2
Ovis2.5-2B-vLLM,0.25399837354296556,0.26250856751199453,0.2484304932735426,0.27198027937551356,0.2398042414355628,0.2504012841091493,0.25081967213114753,0.23452484742807322,0.27937551355792933,0.24149108589951376,0.2736842105263158
Qwen2.5-VL-3B-vLLM,0.25318514502575223,0.24537354352296092,0.25829596412556055,0.2612982744453574,0.24306688417618272,0.2552166934189406,0.2573770491803279,0.25544899738448124,0.24815119145439607,0.25283630470016205,0.2736842105263158
Qwen3-VL-2B-Instruct,0.2393602602331255,0.24126113776559288,0.23811659192825113,0.25061626951520133,0.2226753670473083,0.2447833065810594,0.26885245901639343,0.24411508282476024,0.23171733771569433,0.2171799027552674,0.24210526315789474
Gemma-3-12B-vLLM,0.23204120357820548,0.23303632625085674,0.23139013452914797,0.2276088742810189,0.23491027732463296,0.23354735152487963,0.2459016393442623,0.21883173496076722,0.2341824157764996,0.22690437601296595,0.30526315789473685
InternVL3-8B-vLLM,0.226890756302521,0.2385195339273475,0.21928251121076234,0.228430566967954,0.23572593800978792,0.21669341894060995,0.2180327868852459,0.22580645161290322,0.23171733771569433,0.2188006482982172,0.29473684210526313
Gemma-3-27B-vLLM,0.2209270805096232,0.22344071281699796,0.21928251121076234,0.21446179129005752,0.233278955954323,0.21508828250401285,0.21311475409836064,0.21708805579773321,0.22350041084634348,0.233387358184765,0.21052631578947367
Gemma-3-4B-vLLM,0.21306587150989428,0.21864290610006853,0.2094170403587444,0.2029580936729663,0.20146818923327894,0.23434991974317818,0.2081967213114754,0.1952920662598082,0.21446179129005752,0.2544570502431118,0.17894736842105263
Idefics3-8B-Llama3-vLLM,0.20032529140688535,0.2021932830705963,0.19910313901345292,0.2029580936729663,0.19168026101141925,0.20626003210272872,0.21311475409836064,0.1961639058413252,0.21035332785538208,0.1847649918962723,0.1368421052631579
