model,Gesamt_Acc,Visuell,Text_only,Delta_TV,Level_A,Level_B,Level_C
Gemma-3-12B-vLLM_CoT-Voting_n1,34.2,18.0,44.6,26.6,44.6,33.8,24.6
Gemma-3-27B-vLLM_CoT-Voting_n1,43.5,21.1,57.7,36.5,52.6,45.2,32.9
Gemma-3-4B-vLLM_CoT-Voting_n1,15.4,10.8,18.4,7.6,23.1,13.4,9.9
Idefics3-8B-CoT-Voting_n1,17.9,18.1,17.7,-0.4,18.1,18.2,17.3
InternVL3-14B-CoT-Voting_n1,45.6,27.7,57.0,29.3,55.6,45.9,35.5
InternVL3-38B-CoT-Voting_n1,48.8,31.4,59.8,28.4,57.6,51.3,37.7
InternVL3-8B-CoT-Voting_n1,12.1,10.4,13.2,2.8,15.4,11.3,9.7
Ovis2.5-2B_CoT-Voting_n1,26.7,20.1,30.9,10.8,37.4,24.2,18.8
Ovis2.5-9B_CoT-Voting_n1,46.1,27.2,58.1,30.9,57.3,45.2,36.1
Qwen2.5-VL-32B-Instruct_CoT-Voting_n1,35.6,26.4,41.5,15.1,43.9,33.9,29.4
Qwen2.5-VL-3B-Instruct_CoT-Voting_n1,23.4,17.1,27.4,10.3,30.8,21.9,17.7
Qwen2.5-VL-72B-Instruct-AWQ_CoT-Voting_n1,52.8,32.9,65.3,32.4,64.2,52.7,41.6
Qwen2.5-VL-7B-Instruct_CoT-Voting_n1,27.8,20.4,32.5,12.1,35.7,26.2,21.7
Qwen3-VL-30B-Instruct_CoT-Voting_n1,43.4,20.9,57.7,36.8,59.0,43.2,28.5
Qwen3-VL-4B-Instruct_CoT-Voting_n1,41.0,16.1,56.8,40.6,54.3,43.2,25.8
Qwen3-VL-8B-Instruct_CoT-Voting_n1,44.4,18.9,60.7,41.8,58.6,45.4,29.7
