model_base,math_category,difficulty,n,acc_zero_pct,acc_cot_pct,delta_pp,modality
Qwen3-VL-30B-Instruct,Arithmetik,A,433,35.8,82.2,46.4,Tx
Qwen3-VL-30B-Instruct,Arithmetik,B,307,29.3,59.0,29.6,Tx
Qwen3-VL-30B-Instruct,Arithmetik,C,196,24.5,47.4,23.0,Tx
Qwen3-VL-30B-Instruct,Algebra,A,111,32.4,86.5,54.1,Tx
Qwen3-VL-30B-Instruct,Algebra,B,158,31.0,69.6,38.6,Tx
Qwen3-VL-30B-Instruct,Algebra,C,220,30.9,43.2,12.3,Tx
Qwen3-VL-30B-Instruct,Geometrie,A,67,41.8,82.1,40.3,Tx
Qwen3-VL-30B-Instruct,Geometrie,B,95,33.7,49.5,15.8,Tx
Qwen3-VL-30B-Instruct,Geometrie,C,96,34.4,32.3,-2.1,Tx
Qwen3-VL-30B-Instruct,Stochastik,A,80,35.0,63.7,28.7,Tx
Qwen3-VL-30B-Instruct,Stochastik,B,155,31.0,41.9,11.0,Tx
Qwen3-VL-30B-Instruct,Stochastik,C,207,29.5,27.5,-1.9,Tx
Qwen3-VL-30B-Instruct,unknown,A,12,41.7,33.3,-8.3,Tx
Qwen3-VL-30B-Instruct,unknown,B,16,25.0,75.0,50.0,Tx
Qwen3-VL-30B-Instruct,unknown,C,20,40.0,15.0,-25.0,Tx
Qwen3-VL-30B-Instruct,,C,3,0.0,0.0,0.0,Tx
Qwen3-VL-30B-Instruct,Arithmetik,A,62,24.2,48.4,24.2,Vi
Qwen3-VL-30B-Instruct,Arithmetik,B,53,28.3,30.2,1.9,Vi
Qwen3-VL-30B-Instruct,Arithmetik,C,58,27.6,19.0,-8.6,Vi
Qwen3-VL-30B-Instruct,Algebra,A,17,17.6,41.2,23.5,Vi
Qwen3-VL-30B-Instruct,Algebra,B,44,31.8,31.8,0.0,Vi
Qwen3-VL-30B-Instruct,Algebra,C,43,20.9,11.6,-9.3,Vi
Qwen3-VL-30B-Instruct,Geometrie,A,309,29.1,22.7,-6.5,Vi
Qwen3-VL-30B-Instruct,Geometrie,B,299,26.8,19.1,-7.7,Vi
Qwen3-VL-30B-Instruct,Geometrie,C,302,30.8,13.6,-17.2,Vi
Qwen3-VL-30B-Instruct,Stochastik,A,54,31.5,31.5,0.0,Vi
Qwen3-VL-30B-Instruct,Stochastik,B,46,28.3,19.6,-8.7,Vi
Qwen3-VL-30B-Instruct,Stochastik,C,51,21.6,11.8,-9.8,Vi
Qwen3-VL-30B-Instruct,unknown,A,27,29.6,18.5,-11.1,Vi
Qwen3-VL-30B-Instruct,unknown,B,11,45.5,9.1,-36.4,Vi
Qwen3-VL-30B-Instruct,unknown,C,5,40.0,0.0,-40.0,Vi
Qwen3-VL-4B-Instruct,Arithmetik,A,433,30.0,80.4,50.3,Tx
Qwen3-VL-4B-Instruct,Arithmetik,B,307,21.8,59.6,37.8,Tx
Qwen3-VL-4B-Instruct,Arithmetik,C,196,21.4,40.3,18.9,Tx
Qwen3-VL-4B-Instruct,Algebra,A,111,44.1,82.0,37.8,Tx
Qwen3-VL-4B-Instruct,Algebra,B,158,32.3,72.8,40.5,Tx
Qwen3-VL-4B-Instruct,Algebra,C,220,25.9,43.2,17.3,Tx
Qwen3-VL-4B-Instruct,Geometrie,A,67,35.8,74.6,38.8,Tx
Qwen3-VL-4B-Instruct,Geometrie,B,95,22.1,56.8,34.7,Tx
Qwen3-VL-4B-Instruct,Geometrie,C,96,27.1,27.1,0.0,Tx
Qwen3-VL-4B-Instruct,Stochastik,A,80,33.8,60.0,26.2,Tx
Qwen3-VL-4B-Instruct,Stochastik,B,155,27.7,42.6,14.8,Tx
Qwen3-VL-4B-Instruct,Stochastik,C,207,24.2,28.5,4.3,Tx
Qwen3-VL-4B-Instruct,unknown,A,12,16.7,50.0,33.3,Tx
Qwen3-VL-4B-Instruct,unknown,B,16,25.0,62.5,37.5,Tx
Qwen3-VL-4B-Instruct,unknown,C,20,20.0,20.0,0.0,Tx
Qwen3-VL-4B-Instruct,,C,3,0.0,33.3,33.3,Tx
Qwen3-VL-4B-Instruct,Arithmetik,A,62,27.4,38.7,11.3,Vi
Qwen3-VL-4B-Instruct,Arithmetik,B,53,24.5,30.2,5.7,Vi
Qwen3-VL-4B-Instruct,Arithmetik,C,58,22.4,13.8,-8.6,Vi
Qwen3-VL-4B-Instruct,Algebra,A,17,41.2,47.1,5.9,Vi
Qwen3-VL-4B-Instruct,Algebra,B,44,22.7,27.3,4.5,Vi
Qwen3-VL-4B-Instruct,Algebra,C,43,32.6,7.0,-25.6,Vi
Qwen3-VL-4B-Instruct,Geometrie,A,309,26.5,16.8,-9.7,Vi
Qwen3-VL-4B-Instruct,Geometrie,B,299,20.1,16.7,-3.3,Vi
Qwen3-VL-4B-Instruct,Geometrie,C,302,26.8,10.6,-16.2,Vi
Qwen3-VL-4B-Instruct,Stochastik,A,54,38.9,14.8,-24.1,Vi
Qwen3-VL-4B-Instruct,Stochastik,B,46,34.8,13.0,-21.7,Vi
Qwen3-VL-4B-Instruct,Stochastik,C,51,13.7,5.9,-7.8,Vi
Qwen3-VL-4B-Instruct,unknown,A,27,18.5,3.7,-14.8,Vi
Qwen3-VL-4B-Instruct,unknown,B,11,27.3,0.0,-27.3,Vi
Qwen3-VL-4B-Instruct,unknown,C,5,20.0,0.0,-20.0,Vi
Qwen3-VL-8B-Instruct,Arithmetik,A,433,29.1,83.1,54.0,Tx
Qwen3-VL-8B-Instruct,Arithmetik,B,307,29.6,64.8,35.2,Tx
Qwen3-VL-8B-Instruct,Arithmetik,C,196,21.9,50.5,28.6,Tx
Qwen3-VL-8B-Instruct,Algebra,A,111,38.7,85.6,46.8,Tx
Qwen3-VL-8B-Instruct,Algebra,B,158,31.6,74.7,43.0,Tx
Qwen3-VL-8B-Instruct,Algebra,C,220,31.8,51.4,19.5,Tx
Qwen3-VL-8B-Instruct,Geometrie,A,67,43.3,77.6,34.3,Tx
Qwen3-VL-8B-Instruct,Geometrie,B,95,25.3,55.8,30.5,Tx
Qwen3-VL-8B-Instruct,Geometrie,C,96,29.2,34.4,5.2,Tx
Qwen3-VL-8B-Instruct,Stochastik,A,80,32.5,65.0,32.5,Tx
Qwen3-VL-8B-Instruct,Stochastik,B,155,27.7,43.2,15.5,Tx
Qwen3-VL-8B-Instruct,Stochastik,C,207,27.5,28.5,1.0,Tx
Qwen3-VL-8B-Instruct,unknown,A,12,33.3,50.0,16.7,Tx
Qwen3-VL-8B-Instruct,unknown,B,16,18.8,62.5,43.8,Tx
Qwen3-VL-8B-Instruct,unknown,C,20,20.0,15.0,-5.0,Tx
Qwen3-VL-8B-Instruct,,C,3,0.0,33.3,33.3,Tx
Qwen3-VL-8B-Instruct,Arithmetik,A,62,19.4,50.0,30.6,Vi
Qwen3-VL-8B-Instruct,Arithmetik,B,53,24.5,30.2,5.7,Vi
Qwen3-VL-8B-Instruct,Arithmetik,C,58,20.7,15.5,-5.2,Vi
Qwen3-VL-8B-Instruct,Algebra,A,17,23.5,47.1,23.5,Vi
Qwen3-VL-8B-Instruct,Algebra,B,44,22.7,36.4,13.6,Vi
Qwen3-VL-8B-Instruct,Algebra,C,43,18.6,16.3,-2.3,Vi
Qwen3-VL-8B-Instruct,Geometrie,A,309,31.7,21.0,-10.7,Vi
Qwen3-VL-8B-Instruct,Geometrie,B,299,22.7,17.4,-5.4,Vi
Qwen3-VL-8B-Instruct,Geometrie,C,302,24.2,9.6,-14.6,Vi
Qwen3-VL-8B-Instruct,Stochastik,A,54,31.5,24.1,-7.4,Vi
Qwen3-VL-8B-Instruct,Stochastik,B,46,28.3,13.0,-15.2,Vi
Qwen3-VL-8B-Instruct,Stochastik,C,51,31.4,7.8,-23.5,Vi
Qwen3-VL-8B-Instruct,unknown,A,27,25.9,18.5,-7.4,Vi
Qwen3-VL-8B-Instruct,unknown,B,11,9.1,0.0,-9.1,Vi
Qwen3-VL-8B-Instruct,unknown,C,5,40.0,0.0,-40.0,Vi
