model,group_kind,group_value,total,correct,accuracy,null_prediction,coverage,invalid_formats,missing_format_flag
Gemma-3-12B-vLLM,overall,ALL,3557,819,0.2303,0,1.0000,0,0
Gemma-3-12B-vLLM,category,Algebra,593,145,0.2445,0,1.0000,0,0
Gemma-3-12B-vLLM,category,Arithmetik,1109,238,0.2146,0,1.0000,0,0
Gemma-3-12B-vLLM,category,Geometrie,1168,275,0.2354,0,1.0000,0,0
Gemma-3-12B-vLLM,category,Stochastik,593,133,0.2243,0,1.0000,0,0
Gemma-3-12B-vLLM,category,unknown,94,28,0.2979,0,1.0000,0,0
Gemma-3-12B-vLLM,difficulty,A,1172,265,0.2261,0,1.0000,0,0
Gemma-3-12B-vLLM,difficulty,B,1184,279,0.2356,0,1.0000,0,0
Gemma-3-12B-vLLM,difficulty,C,1201,275,0.2290,0,1.0000,0,0
Gemma-3-27B-vLLM,overall,ALL,3557,788,0.2215,0,1.0000,0,0
Gemma-3-27B-vLLM,category,Algebra,593,127,0.2142,0,1.0000,0,0
Gemma-3-27B-vLLM,category,Arithmetik,1109,241,0.2173,0,1.0000,0,0
Gemma-3-27B-vLLM,category,Geometrie,1168,265,0.2269,0,1.0000,0,0
Gemma-3-27B-vLLM,category,Stochastik,593,136,0.2293,0,1.0000,0,0
Gemma-3-27B-vLLM,category,unknown,94,19,0.2021,0,1.0000,0,0
Gemma-3-27B-vLLM,difficulty,A,1172,254,0.2167,0,1.0000,0,0
Gemma-3-27B-vLLM,difficulty,B,1184,278,0.2348,0,1.0000,0,0
Gemma-3-27B-vLLM,difficulty,C,1201,256,0.2132,0,1.0000,0,0
Gemma-3-4B-vLLM,overall,ALL,3557,754,0.2120,0,1.0000,0,0
Gemma-3-4B-vLLM,category,Algebra,593,126,0.2125,0,1.0000,0,0
Gemma-3-4B-vLLM,category,Arithmetik,1109,212,0.1912,0,1.0000,0,0
Gemma-3-4B-vLLM,category,Geometrie,1168,248,0.2123,0,1.0000,0,0
Gemma-3-4B-vLLM,category,Stochastik,593,151,0.2546,0,1.0000,0,0
Gemma-3-4B-vLLM,category,unknown,94,17,0.1809,0,1.0000,0,0
Gemma-3-4B-vLLM,difficulty,A,1172,238,0.2031,0,1.0000,0,0
Gemma-3-4B-vLLM,difficulty,B,1184,235,0.1985,0,1.0000,0,0
Gemma-3-4B-vLLM,difficulty,C,1201,281,0.2340,0,1.0000,0,0
Idefics3-8B-Llama3-vLLM,overall,ALL,3557,708,0.1990,0,1.0000,0,0
Idefics3-8B-Llama3-vLLM,category,Algebra,593,125,0.2108,0,1.0000,0,0
Idefics3-8B-Llama3-vLLM,category,Arithmetik,1109,216,0.1948,0,1.0000,0,0
Idefics3-8B-Llama3-vLLM,category,Geometrie,1168,243,0.2080,0,1.0000,0,0
Idefics3-8B-Llama3-vLLM,category,Stochastik,593,110,0.1855,0,1.0000,0,0
Idefics3-8B-Llama3-vLLM,category,unknown,94,14,0.1489,0,1.0000,0,0
Idefics3-8B-Llama3-vLLM,difficulty,A,1172,235,0.2005,0,1.0000,0,0
Idefics3-8B-Llama3-vLLM,difficulty,B,1184,224,0.1892,0,1.0000,0,0
Idefics3-8B-Llama3-vLLM,difficulty,C,1201,249,0.2073,0,1.0000,0,0
InternVL3-14B-vLLM,overall,ALL,3557,977,0.2747,0,1.0000,0,3557
InternVL3-14B-vLLM,category,Algebra,593,157,0.2648,0,1.0000,0,593
InternVL3-14B-vLLM,category,Arithmetik,1109,316,0.2849,0,1.0000,0,1109
InternVL3-14B-vLLM,category,Geometrie,1168,310,0.2654,0,1.0000,0,1168
InternVL3-14B-vLLM,category,Stochastik,593,162,0.2732,0,1.0000,0,593
InternVL3-14B-vLLM,category,unknown,94,32,0.3404,0,1.0000,0,94
InternVL3-14B-vLLM,difficulty,A,1172,331,0.2824,0,1.0000,0,1172
InternVL3-14B-vLLM,difficulty,B,1184,326,0.2753,0,1.0000,0,1184
InternVL3-14B-vLLM,difficulty,C,1201,320,0.2664,0,1.0000,0,1201
InternVL3-38B-vLLM,overall,ALL,3557,1112,0.3126,0,1.0000,0,3557
InternVL3-38B-vLLM,category,Algebra,593,188,0.3170,0,1.0000,0,593
InternVL3-38B-vLLM,category,Arithmetik,1109,346,0.3120,0,1.0000,0,1109
InternVL3-38B-vLLM,category,Geometrie,1168,340,0.2911,0,1.0000,0,1168
InternVL3-38B-vLLM,category,Stochastik,593,208,0.3508,0,1.0000,0,593
InternVL3-38B-vLLM,category,unknown,94,30,0.3191,0,1.0000,0,94
InternVL3-38B-vLLM,difficulty,A,1172,390,0.3328,0,1.0000,0,1172
InternVL3-38B-vLLM,difficulty,B,1184,371,0.3133,0,1.0000,0,1184
InternVL3-38B-vLLM,difficulty,C,1201,351,0.2923,0,1.0000,0,1201
InternVL3-8B-vLLM,overall,ALL,3557,807,0.2269,0,1.0000,0,3557
InternVL3-8B-vLLM,category,Algebra,593,128,0.2159,0,1.0000,0,593
InternVL3-8B-vLLM,category,Arithmetik,1109,252,0.2272,0,1.0000,0,1109
InternVL3-8B-vLLM,category,Geometrie,1168,267,0.2286,0,1.0000,0,1168
InternVL3-8B-vLLM,category,Stochastik,593,134,0.2260,0,1.0000,0,593
InternVL3-8B-vLLM,category,unknown,94,26,0.2766,0,1.0000,0,94
InternVL3-8B-vLLM,difficulty,A,1172,268,0.2287,0,1.0000,0,1172
InternVL3-8B-vLLM,difficulty,B,1184,279,0.2356,0,1.0000,0,1184
InternVL3-8B-vLLM,difficulty,C,1201,260,0.2165,0,1.0000,0,1201
Ovis2.5-2B-vLLM,overall,ALL,3557,904,0.2541,0,1.0000,0,0
Ovis2.5-2B-vLLM,category,Algebra,593,146,0.2462,0,1.0000,0,0
Ovis2.5-2B-vLLM,category,Arithmetik,1109,259,0.2335,0,1.0000,0,0
Ovis2.5-2B-vLLM,category,Geometrie,1168,328,0.2808,0,1.0000,0,0
Ovis2.5-2B-vLLM,category,Stochastik,593,145,0.2445,0,1.0000,0,0
Ovis2.5-2B-vLLM,category,unknown,94,26,0.2766,0,1.0000,0,0
Ovis2.5-2B-vLLM,difficulty,A,1172,319,0.2722,0,1.0000,0,0
Ovis2.5-2B-vLLM,difficulty,B,1184,285,0.2407,0,1.0000,0,0
Ovis2.5-2B-vLLM,difficulty,C,1201,300,0.2498,0,1.0000,0,0
Ovis2.5-9B-vLLM,overall,ALL,3557,1105,0.3107,0,1.0000,0,0
Ovis2.5-9B-vLLM,category,Algebra,593,196,0.3305,0,1.0000,0,0
Ovis2.5-9B-vLLM,category,Arithmetik,1109,342,0.3084,0,1.0000,0,0
Ovis2.5-9B-vLLM,category,Geometrie,1168,344,0.2945,0,1.0000,0,0
Ovis2.5-9B-vLLM,category,Stochastik,593,190,0.3204,0,1.0000,0,0
Ovis2.5-9B-vLLM,category,unknown,94,33,0.3511,0,1.0000,0,0
Ovis2.5-9B-vLLM,difficulty,A,1172,399,0.3404,0,1.0000,0,0
Ovis2.5-9B-vLLM,difficulty,B,1184,357,0.3015,0,1.0000,0,0
Ovis2.5-9B-vLLM,difficulty,C,1201,349,0.2906,0,1.0000,0,0
Qwen2.5-VL-32B-vLLM,overall,ALL,3557,1347,0.3787,0,1.0000,0,0
Qwen2.5-VL-32B-vLLM,category,Algebra,593,235,0.3963,0,1.0000,0,0
Qwen2.5-VL-32B-vLLM,category,Arithmetik,1109,443,0.3995,0,1.0000,0,0
Qwen2.5-VL-32B-vLLM,category,Geometrie,1168,400,0.3425,0,1.0000,0,0
